Circle #	Center X	Center Y	Center X (µm)	Center Y (µm)	Radius	Radius (µm)	
1110	2548,00	1130,00	1199,06	-120,00	7,00	3,29	
1111	1855,00	1132,00	872,94	-120,94	5,00	2,35	
1112	1218,00	1136,00	573,18	-122,82	7,00	3,29	
1113	2199,00	1136,00	1034,82	-122,82	6,00	2,82	
1114	2546,00	1137,00	1198,12	-123,29	8,00	3,76	
1115	1170,00	1137,00	550,59	-123,29	5,00	2,35	
1116	1215,00	1143,00	571,76	-126,12	7,00	3,29	
1117	1766,00	1139,00	831,06	-124,24	5,00	2,35	
1118	926,00	1141,00	435,76	-125,18	10,00	4,71	
1119	3907,00	1140,00	1838,59	-124,71	6,00	2,82	
1120	1128,00	1142,00	530,82	-125,65	5,00	2,35	
1121	1258,00	1143,00	592,00	-126,12	14,00	6,59	
1122	2101,00	1143,00	988,71	-126,12	5,00	2,35	
1123	1079,00	1143,00	507,76	-126,12	6,00	2,82	
1124	1822,00	1147,00	857,41	-128,00	5,00	2,35	
1125	1021,00	1149,00	480,47	-128,94	22,00	10,35	
1126	1728,00	1148,00	813,18	-128,47	5,00	2,35	
1127	1707,00	1148,00	803,29	-128,47	6,00	2,82	
1128	802,00	1152,00	377,41	-130,35	32,00	15,06	
1129	1664,00	1151,00	783,06	-129,88	5,00	2,35	
1130	1730,00	1151,00	814,12	-129,88	5,00	2,35	
1131	1942,00	1152,00	913,88	-130,35	7,00	3,29	
1132	1657,00	1153,00	779,76	-130,82	6,00	2,82	
1133	3933,00	1154,00	1850,82	-131,29	5,00	2,35	
1134	1206,00	1154,00	567,53	-131,29	7,00	3,29	
1135	1528,00	1154,00	719,06	-131,29	9,00	4,24	
1136	1651,00	1155,00	776,94	-131,76	5,00	2,35	
1137	1928,00	1155,00	907,29	-131,76	6,00	2,82	
1138	933,00	1156,00	439,06	-132,24	10,00	4,71	
1139	1923,00	1156,00	904,94	-132,24	6,00	2,82	
1140	2201,00	1156,00	1035,76	-132,24	5,00	2,35	
1141	1529,00	1158,00	719,53	-133,18	9,00	4,24	
1142	1904,00	1159,00	896,00	-133,65	6,00	2,82	
1143	2241,00	1158,00	1054,59	-133,18	8,00	3,76	
1144	1067,00	1160,00	502,12	-134,12	8,00	3,76	
1145	1834,00	1160,00	863,06	-134,12	6,00	2,82	
1146	2642,00	1161,00	1243,29	-134,59	29,00	13,65	
1147	1207,00	1162,00	568,00	-135,06	5,00	2,35	
1148	1566,00	1163,00	736,94	-135,53	5,00	2,35	
1149	2680,00	1166,00	1261,18	-136,94	6,00	2,82	
1150	2683,00	1168,00	1262,59	-137,88	6,00	2,82	
1151	866,00	1169,00	407,53	-138,35	20,00	9,41	
1152	1291,00	1172,00	607,53	-139,76	16,00	7,53	
1153	2164,00	1170,00	1018,35	-138,82	5,00	2,35	
1154	3920,00	1170,00	1844,71	-138,82	5,00	2,35	
1155	1477,00	1171,00	695,06	-139,29	5,00	2,35	
1156	881,00	1172,00	414,59	-139,76	17,00	8,00	
1157	1849,00	1177,00	870,12	-142,12	5,00	2,35	
1158	2149,00	1182,00	1011,29	-144,47	6,00	2,82	
1159	1939,00	1178,00	912,47	-142,59	6,00	2,82	
1160	1002,00	1179,00	471,53	-143,06	7,00	3,29	
1161	1880,00	1179,00	884,71	-143,06	5,00	2,35	
1162	1921,00	1179,00	904,00	-143,06	7,00	3,29	
1163	1088,00	1182,00	512,00	-144,47	5,00	2,35	
1164	1543,00	1183,00	726,12	-144,94	7,00	3,29	
1165	1961,00	1184,00	922,82	-145,41	5,00	2,35	
1166	2235,00	1184,00	1051,76	-145,41	7,00	3,29	
1167	886,00	1183,00	416,94	-144,94	12,00	5,65	
1168	2688,00	1183,00	1264,94	-144,94	11,00	5,18	
1169	1101,00	1185,00	518,12	-145,88	5,00	2,35	
1170	1970,00	1185,00	927,06	-145,88	5,00	2,35	
