Circle #	Center X	Center Y	Center X (µm)	Center Y (µm)	Radius	Radius (µm)	
471	1911,00	934,00	899,29	-27,76	10,00	4,71	
472	2620,00	933,00	1232,94	-27,29	5,00	2,35	
473	2666,00	935,00	1254,59	-28,24	13,00	6,12	
474	1637,00	936,00	770,35	-28,71	5,00	2,35	
475	2641,00	936,00	1242,82	-28,71	6,00	2,82	
476	1869,00	939,00	879,53	-30,12	5,00	2,35	
477	2290,00	938,00	1077,65	-29,65	5,00	2,35	
478	1838,00	939,00	864,94	-30,12	12,00	5,65	
479	1641,00	943,00	772,24	-32,00	6,00	2,82	
480	2300,00	943,00	1082,35	-32,00	9,00	4,24	
481	1965,00	945,00	924,71	-32,94	14,00	6,59	
482	1574,00	948,00	740,71	-34,35	11,00	5,18	
483	1592,00	949,00	749,18	-34,82	5,00	2,35	
484	1615,00	951,00	760,00	-35,76	5,00	2,35	
