Создан как новый массив данных;Образец 009 полученный BalashovM Дата среда, апреля 28 2021
cm-1;A
2928,00;0,0227
2927,00;0,0226
2926,00;0,0226
2925,00;0,0226
2924,00;0,0226
2923,00;0,0226
2922,00;0,0226
2921,00;0,0226
2920,00;0,0227
2919,00;0,0228
2918,00;0,0229
2917,00;0,0231
2916,00;0,0231
2915,00;0,0232
2914,00;0,0233
2913,00;0,0234
2912,00;0,0234
2911,00;0,0235
2910,00;0,0236
2909,00;0,0236
2908,00;0,0236
2907,00;0,0237
2906,00;0,0237
2905,00;0,0237
2904,00;0,0237
2903,00;0,0237
2902,00;0,0237
2901,00;0,0237
2900,00;0,0237
2899,00;0,0237
2898,00;0,0237
2897,00;0,0237
2896,00;0,0238
2895,00;0,0238
2894,00;0,0238
2893,00;0,0238
2892,00;0,0238
2891,00;0,0238
2890,00;0,0238
2889,00;0,0238
2888,00;0,0238
2887,00;0,0238
2886,00;0,0238
2885,00;0,0238
2884,00;0,0238
2883,00;0,0238
2882,00;0,0238
2881,00;0,0237
2880,00;0,0237
2879,00;0,0237
2878,00;0,0237
2877,00;0,0236
2876,00;0,0236
2875,00;0,0235
2874,00;0,0235
2873,00;0,0235
2872,00;0,0235
2871,00;0,0234
2870,00;0,0234
2869,00;0,0234
2868,00;0,0234
2867,00;0,0234
2866,00;0,0233
2865,00;0,0233
2864,00;0,0233
2863,00;0,0233
2862,00;0,0232
2861,00;0,0231
2860,00;0,0231
2859,00;0,0230
2858,00;0,0229
2857,00;0,0229
2856,00;0,0228
2855,00;0,0228
2854,00;0,0228
2853,00;0,0228
2852,00;0,0229
2851,00;0,0229
2850,00;0,0230
2849,00;0,0231
2848,00;0,0231
2847,00;0,0232
2846,00;0,0232
2845,00;0,0233
2844,00;0,0233
2843,00;0,0233
2842,00;0,0234
2841,00;0,0234
2840,00;0,0234
2839,00;0,0234
2838,00;0,0235
2837,00;0,0235
2836,00;0,0235
2835,00;0,0235
2834,00;0,0235
2833,00;0,0235
2832,00;0,0235
2831,00;0,0235
2830,00;0,0234
2829,00;0,0234
2828,00;0,0234
2827,00;0,0234
2826,00;0,0235
2825,00;0,0235
2824,00;0,0235
2823,00;0,0235
2822,00;0,0235
2821,00;0,0235
2820,00;0,0234
2819,00;0,0234
2818,00;0,0234
2817,00;0,0234
2816,00;0,0234
2815,00;0,0234
2814,00;0,0234
2813,00;0,0234
2812,00;0,0234
2811,00;0,0234
2810,00;0,0234
2809,00;0,0234
2808,00;0,0234
2807,00;0,0233
2806,00;0,0233
2805,00;0,0233
2804,00;0,0233
2803,00;0,0233
2802,00;0,0233
2801,00;0,0233
2800,00;0,0233
2799,00;0,0233
2798,00;0,0233
2797,00;0,0233
2796,00;0,0232
2795,00;0,0232
2794,00;0,0232
2793,00;0,0232
2792,00;0,0232
2791,00;0,0232
2790,00;0,0232
2789,00;0,0232
2788,00;0,0232
2787,00;0,0232
2786,00;0,0232
2785,00;0,0232
2784,00;0,0231
2783,00;0,0231
2782,00;0,0231
2781,00;0,0231
2780,00;0,0231
2779,00;0,0231
2778,00;0,0231
2777,00;0,0231
2776,00;0,0231
2775,00;0,0231
2774,00;0,0231
2773,00;0,0231
2772,00;0,0231
2771,00;0,0231
2770,00;0,0230
2769,00;0,0230
2768,00;0,0230
2767,00;0,0230
2766,00;0,0230
2765,00;0,0230
2764,00;0,0230
2763,00;0,0230
2762,00;0,0230
2761,00;0,0230
2760,00;0,0230
2759,00;0,0230
2758,00;0,0229
2757,00;0,0229
2756,00;0,0229
2755,00;0,0229
2754,00;0,0229
2753,00;0,0229
2752,00;0,0229
2751,00;0,0229
2750,00;0,0229
2749,00;0,0229
2748,00;0,0229
2747,00;0,0229
2746,00;0,0229
2745,00;0,0228
2744,00;0,0228
2743,00;0,0228
2742,00;0,0228
2741,00;0,0228
2740,00;0,0228
2739,00;0,0228
2738,00;0,0228
2737,00;0,0228
2736,00;0,0228
2735,00;0,0228
2734,00;0,0228
2733,00;0,0228
2732,00;0,0228
2731,00;0,0227
2730,00;0,0227
2729,00;0,0227
2728,00;0,0227
2727,00;0,0227
2726,00;0,0227
2725,00;0,0227
2724,00;0,0227
2723,00;0,0227
2722,00;0,0227
2721,00;0,0227
2720,00;0,0227
2719,00;0,0227
2718,00;0,0227
2717,00;0,0227
2716,00;0,0226
2715,00;0,0226
2714,00;0,0226
2713,00;0,0226
2712,00;0,0226
2711,00;0,0226
2710,00;0,0226
2709,00;0,0226
2708,00;0,0226
2707,00;0,0226
2706,00;0,0226
2705,00;0,0226
2704,00;0,0226
2703,00;0,0226
2702,00;0,0226
2701,00;0,0226
2700,00;0,0226
2699,00;0,0225
2698,00;0,0225
2697,00;0,0225
2696,00;0,0225
2695,00;0,0225
2694,00;0,0225
2693,00;0,0225
2692,00;0,0225
2691,00;0,0225
2690,00;0,0225
2689,00;0,0225
2688,00;0,0225
2687,00;0,0225
2686,00;0,0225
2685,00;0,0225
2684,00;0,0225
2683,00;0,0225
2682,00;0,0225
2681,00;0,0225
2680,00;0,0225
2679,00;0,0225
2678,00;0,0224
2677,00;0,0224
2676,00;0,0224
2675,00;0,0224
2674,00;0,0224
2673,00;0,0224
2672,00;0,0224
2671,00;0,0224
2670,00;0,0224
2669,00;0,0224
2668,00;0,0224
2667,00;0,0224
2666,00;0,0225
2665,00;0,0225
2664,00;0,0225
2663,00;0,0225
2662,00;0,0225
2661,00;0,0225
2660,00;0,0225
2659,00;0,0225
2658,00;0,0225
2657,00;0,0225
2656,00;0,0225
2655,00;0,0225
2654,00;0,0225
2653,00;0,0225
2652,00;0,0225
2651,00;0,0225
2650,00;0,0225
2649,00;0,0225
2648,00;0,0224
2647,00;0,0224
2646,00;0,0224
2645,00;0,0224
2644,00;0,0224
2643,00;0,0224
2642,00;0,0224
2641,00;0,0224
2640,00;0,0224
2639,00;0,0224
2638,00;0,0223
2637,00;0,0223
2636,00;0,0223
2635,00;0,0223
2634,00;0,0222
2633,00;0,0222
2632,00;0,0222
2631,00;0,0222
2630,00;0,0222
2629,00;0,0222
2628,00;0,0221
2627,00;0,0221
2626,00;0,0221
2625,00;0,0221
2624,00;0,0221
2623,00;0,0221
2622,00;0,0221
2621,00;0,0220
2620,00;0,0220
