Создан как новый массив данных;Образец 013 полученный BalashovM Дата четверг, апреля 20 2023
cm-1;A
2928,00;0,2043
2927,00;0,2114
2926,00;0,2176
2925,00;0,2227
2924,00;0,2262
2923,00;0,2281
2922,00;0,2280
2921,00;0,2261
2920,00;0,2222
2919,00;0,2167
2918,00;0,2099
2917,00;0,2022
2916,00;0,1940
2915,00;0,1856
2914,00;0,1772
2913,00;0,1692
2912,00;0,1616
2911,00;0,1545
2910,00;0,1479
2909,00;0,1419
2908,00;0,1362
2907,00;0,1311
2906,00;0,1262
2905,00;0,1217
2904,00;0,1175
2903,00;0,1135
2902,00;0,1098
2901,00;0,1062
2900,00;0,1027
2899,00;0,0994
2898,00;0,0961
2897,00;0,0930
2896,00;0,0900
2895,00;0,0870
2894,00;0,0841
2893,00;0,0813
2892,00;0,0786
2891,00;0,0759
2890,00;0,0734
2889,00;0,0710
2888,00;0,0688
2887,00;0,0668
2886,00;0,0650
2885,00;0,0634
2884,00;0,0621
2883,00;0,0611
2882,00;0,0604
2881,00;0,0601
2880,00;0,0602
2879,00;0,0607
2878,00;0,0616
2877,00;0,0629
2876,00;0,0644
2875,00;0,0661
2874,00;0,0679
2873,00;0,0694
2872,00;0,0707
2871,00;0,0718
2870,00;0,0727
2869,00;0,0738
2868,00;0,0752
2867,00;0,0774
2866,00;0,0805
2865,00;0,0845
2864,00;0,0896
2863,00;0,0955
2862,00;0,1025
2861,00;0,1102
2860,00;0,1185
2859,00;0,1272
2858,00;0,1359
2857,00;0,1442
2856,00;0,1514
2855,00;0,1569
2854,00;0,1601
2853,00;0,1607
2852,00;0,1585
2851,00;0,1535
2850,00;0,1462
2849,00;0,1372
2848,00;0,1270
2847,00;0,1164
2846,00;0,1057
2845,00;0,0956
2844,00;0,0861
2843,00;0,0776
2842,00;0,0702
2841,00;0,0638
2840,00;0,0584
2839,00;0,0539
2838,00;0,0501
2837,00;0,0469
2836,00;0,0441
2835,00;0,0417
2834,00;0,0395
2833,00;0,0375
2832,00;0,0357
2831,00;0,0340
2830,00;0,0325
2829,00;0,0311
2828,00;0,0297
2827,00;0,0285
2826,00;0,0274
2825,00;0,0264
2824,00;0,0255
2823,00;0,0247
2822,00;0,0240
2821,00;0,0233
2820,00;0,0227
2819,00;0,0221
2818,00;0,0216
2817,00;0,0211
2816,00;0,0206
2815,00;0,0202
2814,00;0,0198
2813,00;0,0194
2812,00;0,0190
2811,00;0,0186
2810,00;0,0183
2809,00;0,0180
2808,00;0,0178
2807,00;0,0175
2806,00;0,0172
2805,00;0,0170
2804,00;0,0167
2803,00;0,0165
2802,00;0,0162
2801,00;0,0160
2800,00;0,0157
2799,00;0,0155
2798,00;0,0153
2797,00;0,0151
2796,00;0,0149
2795,00;0,0148
2794,00;0,0146
2793,00;0,0145
2792,00;0,0143
