Создан как новый массив данных;Образец 006 полученный BalashovM Дата понедельник, апреля 12 2021
cm-1;A
2725,00;0,0233
2724,00;0,0233
2723,00;0,0233
2722,00;0,0233
2721,00;0,0233
2720,00;0,0232
2719,00;0,0232
2718,00;0,0232
2717,00;0,0231
2716,00;0,0231
2715,00;0,0230
2714,00;0,0230
2713,00;0,0229
2712,00;0,0229
2711,00;0,0228
2710,00;0,0228
2709,00;0,0228
2708,00;0,0227
2707,00;0,0227
2706,00;0,0226
2705,00;0,0226
2704,00;0,0225
2703,00;0,0225
2702,00;0,0224
2701,00;0,0224
2700,00;0,0223
2699,00;0,0223
2698,00;0,0222
2697,00;0,0222
2696,00;0,0222
2695,00;0,0221
2694,00;0,0221
2693,00;0,0220
2692,00;0,0220
2691,00;0,0219
2690,00;0,0219
2689,00;0,0219
2688,00;0,0218
2687,00;0,0218
2686,00;0,0218
2685,00;0,0218
2684,00;0,0217
2683,00;0,0217
2682,00;0,0217
2681,00;0,0216
2680,00;0,0216
2679,00;0,0215
2678,00;0,0215
2677,00;0,0215
2676,00;0,0215
2675,00;0,0214
2674,00;0,0214
2673,00;0,0214
2672,00;0,0214
2671,00;0,0213
2670,00;0,0213
2669,00;0,0212
2668,00;0,0212
2667,00;0,0212
2666,00;0,0211
2665,00;0,0211
2664,00;0,0211
2663,00;0,0211
2662,00;0,0211
2661,00;0,0211
2660,00;0,0211
2659,00;0,0211
2658,00;0,0210
2657,00;0,0210
2656,00;0,0210
2655,00;0,0210
2654,00;0,0209
2653,00;0,0209
2652,00;0,0208
2651,00;0,0208
2650,00;0,0207
2649,00;0,0207
2648,00;0,0207
2647,00;0,0207
2646,00;0,0206
2645,00;0,0206
2644,00;0,0205
2643,00;0,0205
2642,00;0,0205
2641,00;0,0204
2640,00;0,0204
2639,00;0,0203
2638,00;0,0203
2637,00;0,0203
2636,00;0,0202
2635,00;0,0202
2634,00;0,0202
2633,00;0,0201
2632,00;0,0201
2631,00;0,0200
2630,00;0,0200
2629,00;0,0200
2628,00;0,0199
2627,00;0,0199
2626,00;0,0199
2625,00;0,0198
2624,00;0,0198
2623,00;0,0198
2622,00;0,0197
2621,00;0,0197
