Создан как новый массив данных;Образец 001 полученный BalashovM Дата вторник, ноября 16 2021
cm-1;A
3332,00;0,0450
3331,00;0,0450
3330,00;0,0450
3329,00;0,0450
3328,00;0,0450
3327,00;0,0450
3326,00;0,0451
3325,00;0,0451
3324,00;0,0451
3323,00;0,0451
3322,00;0,0451
3321,00;0,0451
3320,00;0,0451
3319,00;0,0451
3318,00;0,0451
3317,00;0,0451
3316,00;0,0451
3315,00;0,0451
3314,00;0,0451
3313,00;0,0451
3312,00;0,0451
3311,00;0,0451
3310,00;0,0451
3309,00;0,0451
3308,00;0,0451
3307,00;0,0451
3306,00;0,0451
3305,00;0,0451
3304,00;0,0451
3303,00;0,0452
3302,00;0,0452
3301,00;0,0452
3300,00;0,0452
3299,00;0,0452
3298,00;0,0452
3297,00;0,0452
3296,00;0,0452
3295,00;0,0452
3294,00;0,0452
3293,00;0,0452
3292,00;0,0452
3291,00;0,0452
3290,00;0,0452
3289,00;0,0452
3288,00;0,0452
3287,00;0,0453
3286,00;0,0453
3285,00;0,0453
3284,00;0,0453
3283,00;0,0453
3282,00;0,0453
3281,00;0,0453
3280,00;0,0453
3279,00;0,0453
3278,00;0,0453
3277,00;0,0453
3276,00;0,0453
3275,00;0,0453
3274,00;0,0453
3273,00;0,0453
3272,00;0,0453
3271,00;0,0453
3270,00;0,0453
3269,00;0,0453
3268,00;0,0454
3267,00;0,0454
3266,00;0,0454
3265,00;0,0454
3264,00;0,0454
3263,00;0,0453
3262,00;0,0454
3261,00;0,0454
3260,00;0,0454
3259,00;0,0454
3258,00;0,0454
3257,00;0,0454
3256,00;0,0454
3255,00;0,0454
3254,00;0,0454
3253,00;0,0454
3252,00;0,0454
3251,00;0,0454
3250,00;0,0454
3249,00;0,0454
3248,00;0,0454
3247,00;0,0454
3246,00;0,0454
3245,00;0,0454
3244,00;0,0454
3243,00;0,0454
3242,00;0,0454
3241,00;0,0454
3240,00;0,0454
3239,00;0,0454
3238,00;0,0454
3237,00;0,0454
3236,00;0,0454
3235,00;0,0454
3234,00;0,0454
3233,00;0,0454
3232,00;0,0454
3231,00;0,0454
3230,00;0,0454
3229,00;0,0455
3228,00;0,0455
3227,00;0,0455
3226,00;0,0455
3225,00;0,0455
3224,00;0,0455
3223,00;0,0455
3222,00;0,0454
3221,00;0,0454
3220,00;0,0454
3219,00;0,0454
3218,00;0,0455
3217,00;0,0455
3216,00;0,0455
3215,00;0,0455
3214,00;0,0455
3213,00;0,0455
3212,00;0,0455
